ID,fileName,startFrame,endFrame
10-2,10_N2_C2_000,683.17076,1203.74588
10-2,10_N2_C2_000,1203.74588,1780.1702
10-2,10_N2_C2_000,1780.1702,2263.8542
10-2,10_N2_C2_000,2263.8542,2893.05344
10-2,10_N2_C2_000,2893.05344,3313.2026
10-2,10_N2_C2_000,3313.2026,3865.0328
10-2,10_N2_C2_000,3865.0328,4296.9668
10-2,10_N2_C2_000,4296.9668,4850.84648
10-2,10_N2_C2_000,4850.84648,5268.94628
10-2,10_N2_C2_000,5268.94628,5844.8582
10-2,10_N2_C2_000,5844.8582,6244.51232
10-2,10_N2_C2_000,6244.51232,6902.40464
10-2,10_N2_C2_000,6902.40464,7266.70484
10-2,10_N2_C2_000,7266.70484,7790.86664
10-2,10_N2_C2_000,7790.86664,8167.46384
10-2,10_N2_C2_000,8167.46384,8813.05904
10-2,10_N2_C2_000,8813.05904,9177.87164
10-2,10_N2_C2_000,9177.87164,9527.82524
11,11_N2_C3,1088.39556,1684.79844
11,11_N2_C3,1684.79844,2221.50192
11,11_N2_C3,2221.50192,2809.92516
11,11_N2_C3,2809.92516,3448.29504
11,11_N2_C3,3448.29504,3984.99852
11,11_N2_C3,3984.99852,4498.05864
11,11_N2_C3,4498.05864,5108.05644
11,11_N2_C3,5108.05644,5541.9114
11,11_N2_C3,5541.9114,6095.16528
11,11_N2_C3,6095.16528,6581.03556
11,11_N2_C3,6581.03556,6913.22436
11,11_N2_C3,7699.36488,8097.75492
11,11_N2_C3,8097.75492,8479.59468
11,11_N2_C3,8838.9732,9232.63452
11,11_N2_C3,9232.63452,9842.63232
11,11_N2_C3,9842.63232,10333.23132
11,11_N2_C3,10333.23132,10757.03796
12,12_I2_D3,1318.2748,1898.46172
12,12_I2_D3,1898.46172,2395.18024
12,12_I2_D3,2834.61664,3439.35316
12,12_I2_D3,3439.35316,4150.47076
12,12_I2_D3,4150.47076,4778.93848
12,12_I2_D3,4778.93848,5217.55648
12,12_I2_D3,5663.53936,6210.17536
12,12_I2_D3,6210.17536,6973.66528
12,12_I2_D3,6973.66528,7512.11812
12,12_I2_D3,7512.11812,8042.38768
12,12_I2_D3,10692.09892,11462.95384
12,12_I2_D3,11462.95384,12461.30092
12,12_I2_D3,12461.30092,13032.48628
12,12_I2_D3,13032.48628,13642.13272
12,12_I2_D3,13642.13272,14256.68896
12,12_I2_D3,14256.68896,14891.70316
12,12_I2_D3,14891.70316,15566.81488
12,12_I2_D3,15566.81488,16120.81564
13,13_S2_D2,879.65452,1507.47916
13,13_S2_D2,1507.47916,2170.00756
13,13_S2_D2,2170.00756,2765.65228
13,13_S2_D2,2765.65228,3356.24908
13,13_S2_D2,3356.24908,3807.3994
13,13_S2_D2,4942.53148,5499.68632
13,13_S2_D2,5499.68632,6088.39024
13,13_S2_D2,6088.39024,6663.21256
13,13_S2_D2,6663.21256,7209.64084
13,13_S2_D2,7209.64084,7852.60888
13,13_S2_D2,7852.60888,8451.4084
13,13_S2_D2,8451.4084,8989.63396
13,13_S2_D2,8989.63396,9659.10316
13,13_S2_D2,9659.10316,10167.04168
13,13_S2_D2,10167.04168,10844.08264
13,13_S2_D2,10844.08264,11434.04848
13,13_S2_D2,11434.04848,11804.4334
14-2,14_N2_D3_000,555.77864,1093.71932
14-2,14_N2_D3_000,1093.71932,1751.12564
14-2,14_N2_D3_000,1751.12564,2286.30416
14-2,14_N2_D3_000,2286.30416,2913.32624
14-2,14_N2_D3_000,2913.32624,3490.62836
14-2,14_N2_D3_000,3490.62836,4128.00872
14-2,14_N2_D3_000,4128.00872,4806.8222
14-2,14_N2_D3_000,4806.8222,5475.968
14-2,14_N2_D3_000,5475.968,6135.446
14-2,14_N2_D3_000,6135.446,6829.45172
14-2,14_N2_D3_000,6829.45172,7317.67256
14-2,14_N2_D3_000,7317.67256,8048.27756
14-2,14_N2_D3_000,8048.27756,8566.88276
14-2,14_N2_D3_000,9882.386,10410.659
14-2,14_N2_D3_000,11331.85652,12059.00876
14-2,14_N2_D3_000,12059.00876,12837.9524
14,14_N2_D3,723.40168,1275.26404
14,14_N2_D3,1275.26404,1856.2546
14,14_N2_D3,2452.99024,3113.49316
14,14_N2_D3,3113.49316,3707.07976
14,14_N2_D3,3707.07976,4023.55432
14,14_N2_D3,6357.751,6721.46056
15,15_F2_F2,722.85944,1249.35044
15,15_F2_F2,1249.35044,1807.00112
15,15_F2_F2,1807.00112,2343.16244
15,15_F2_F2,2343.16244,2944.86644
15,15_F2_F2,2944.86644,3399.36788
15,15_F2_F2,3399.36788,4080.58268
15,15_F2_F2,4080.58268,4582.36088
15,15_F2_F2,4582.36088,5103.4796
15,15_F2_F2,5103.4796,5468.7998
15,15_F2_F2,5468.7998,6010.3334
15,15_F2_F2,6010.3334,6443.34548
15,15_F2_F2,6443.34548,7010.66636
